分支号	始节点	末节点	风量	风阻	阻力	是否固定	风机名称	可调节性	局部风阻	始末节点标高差	平均密度	附加阻力
202	49	50	5.271687	0.001116957	0.031041	0	0	可调	0	0	1.23	0
203	5	43	12.558646	0.000822403	0.129709	0	0	可调	0	0	1.23	0
204	50	51	5.271687	0.001353583	0.037617	0	0	可调	0	0	1.23	0
205	51	52	12.048832	0.000165663	0.02405	0	0	可调	0	0	1.23	0
206	52	8	12.048832	0.001274206	0.184982	0	0	可调	0	0	1.23	0
207	53	54	6.777145	0.000294472	0.013525	0	0	可调	0	0	1.23	0
208	54	55	6.777145	0.00076702	0.035229	0	0	可调	0	0	1.23	0
209	55	56	6.777145	0.000297912	0.013683	0	0	可调	0	0	1.23	0
210	56	51	6.777145	0.001569181	0.072072	0	0	可调	0	0	1.23	0
211	58	629	2.745945	0.005239109	0.039504	0	0	可调	0	0	1.23	0
212	59	58	2.745945	0.005532071	0.041713	0	0	可调	0	0	1.23	0
213	6	7	4.566688	0.00128499	0.026798	0	0	可调	0	0	1.23	0
214	6	10	17.299448	0.00142796	0.427347	0	0	可调	0	0	1.23	0
215	60	640	5.433342	0.021150017	0.624374	0	0	可调	0	0	1.23	0
216	61	634	0.638861	0.003836887	0.001566	0	0	可调	0	0	1.23	0
217	62	633	8.087366	0.002635971	0.172407	0	0	可调	0	0	1.23	0
218	697	455	7.777956	0.003165484	0.191501	0	0	可调	0	0	1.23	0
219	697	488	4.642908	0.009029534	0.194646	0	0	可调	0	0	1.23	0
220	63	535	0.996391	0.03587246	0.035614	0	0	可调	0	0	1.23	0
221	63	613	19.342591	0.056359422	21.086079	0	0	可调	0	0	1.23	0
222	64	65	0.352212	0.032453794	0.004026	0	0	可调	0	0	1.23	0
223	64	582	4.085036	0.153109757	2.555022	0	0	可调	0	0	1.23	0
224	65	535	6.452114	0.090576564	3.770682	0	0	可调	0	0	1.23	0
225	66	540	1.28754	0.001813894	0.003007	0	0	可调	0	0	1.23	0
226	66	504	13.415454	0.00663116	1.193439	0	0	可调	0	0	1.23	0
227	67	68	94.873263	0.00543	48.875083	0	0	可调	0	0	1.23	0
228	68	69	2.068765	0.000420114	0.001798	0	0	可调	0	0	1.23	0
229	68	72	92.804499	0.00142	12.229998	0	0	可调	0	0	1.23	0
230	69	74	2.068765	0.001100054	0.004708	0	0	可调	0	0	1.23	0
231	7	8	4.566688	0.00015421	0.003216	0	0	可调	0	0	1.23	0
232	70	483	0.384231	0.000480921	0.000071	0	0	可调	0	0	1.23	0
233	70	71	37.493972	9.68254E-05	0.136117	0	0	可调	0	0	1.23	0
234	71	539	22.790978	0.000480607	0.249641	0	0	可调	0	0	1.23	0
235	71	66	14.702994	0.250971883	54.254608	0	0	可调	0	0	1.23	0
236	72	70	37.878203	0.000255267	0.366246	0	0	可调	0	0	1.23	0
237	72	73	54.926295	0.000272872	0.823226	0	0	可调	0	0	1.23	0
238	73	505	17.716719	0.000198052	0.062165	0	0	可调	0	0	1.23	0
239	73	506	37.209576	0.001455723	2.015525	0	0	可调	0	0	1.23	0
240	74	177	1.475565	0.011016896	0.023987	0	0	可调	0	0	1.23	0
241	74	75	0.5932	154.8075963	54.474663	0	0	可调	0	0	1.23	0
242	75	202	7.147012	0.084677811	4.325324	0	0	可调	0	0	1.23	0
243	76	77	33.18647	0.003389865	3.7334	0	0	可调	0	0	1.23	0
244	77	78	33.18647	0.002021185	2.226015	0	0	可调	0	0	1.23	0
245	78	79	47.666949	0.0075802	17.223261	0	0	可调	0	0	1.23	0
246	79	455	103.240601	0.00462089	49.252318	0	0	可调	0	0	1.23	0
247	8	9	16.61552	0.000154201	0.042571	0	0	可调	0	0	1.23	0
248	80	457	95.469336	0.010275598	93.655851	0	0	可调	0	0	1.23	0
249	81	82	246.95	0.002533506	154.504097	0	0	可调	0	0	1.23	0
250	83	569	19.039955	0.010684335	3.873284	0	0	可调	0	0	1.23	0
251	84	481	22.925936	0.010519015	5.528779	0	0	可调	0	0	1.23	0
252	85	506	40.04284	0.000426032	0.683112	0	0	可调	0	0	1.23	0
253	86	87	1.374585	0.003090791	0.00584	0	0	可调	0	0	1.23	0
254	86	90	2.807427	0.005185719	0.040872	0	0	可调	0	0	1.23	0
255	87	88	1.374585	0.004003739	0.007565	0	0	可调	0	0	1.23	0
256	88	89	1.374585	0.006604449	0.012479	0	0	可调	0	0	1.23	0
257	89	90	1.374585	0.007932325	0.014988	0	0	可调	0	0	1.23	0
258	9	10	16.61552	0.001285	0.354757	0	0	可调	0	0	1.23	0
259	90	526	4.182012	0.009915363	0.173412	0	0	可调	0	0	1.23	0
260	439	441	25.779118	0.037127887	24.673817	0	0	可调	0	0	1.23	0
261	439	440	30.02246	0.006026716	5.432169	0	0	可调	0	0	1.23	0
262	416	417	14.441879	0.007403096	1.544048	0	0	可调	0	0	1.23	0
263	415	162	28.984646	7.63436E-05	0.064137	0	0	可调	0	0	1.23	0
264	415	138	105.045233	0.000120337	1.327863	0	0	可调	0	0	1.23	0
265	417	198	6.744714	0.003805046	0.173096	0	0	可调	0	0	1.23	0
266	417	418	7.697166	0.009431347	0.558773	0	0	可调	0	0	1.23	0
267	418	419	14.441879	0.028223034	5.886418	0	0	可调	0	0	1.23	0
268	419	422	14.441879	0.004426252	0.923174	0	0	可调	0	0	1.23	0
269	420	432	3.963755	0.002007656	0.031543	0	0	可调	0	0	1.23	0
270	421	423	10.478124	0.00355426	0.390226	0	0	可调	0	0	1.23	0
271	421	420	4	0.002125	0.034	0	0	可调	0	0	1.23	0
272	440	402	0.359971	0.003048331	0.000395	0	0	可调	0	0	1.23	0
273	440	444	29.662489	0.022870566	20.122971	0	0	可调	0	0	1.23	0
274	422	421	14.441879	0.003772129	0.786745	0	0	可调	0	0	1.23	0
275	423	424	22.489413	0.003357972	1.698374	0	0	可调	0	0	1.23	0
276	424	425	23.715863	0.002907506	1.635304	0	0	可调	0	0	1.23	0
277	425	426	25.11287	0.003367971	2.124032	0	0	可调	0	0	1.23	0
278	426	427	38.651129	0.002894349	4.323897	0	0	可调	0	0	1.23	0
279	427	169	82.920634	0.00289435	19.901061	0	0	可调	0	0	1.23	0
280	428	427	44.269505	0.002181879	4.276023	0	0	可调	0	0	1.23	0
281	429	426	13.538259	0.002128893	0.390193	0	0	可调	0	0	1.23	0
282	429	428	16.790478	0.001553876	0.438069	0	0	可调	0	0	1.23	0
283	430	425	1.397007	0.002177156	0.004249	0	0	可调	0	0	1.23	0
284	430	429	30.328737	0.001889568	1.738086	0	0	可调	0	0	1.23	0
285	431	424	1.22645	0.002251061	0.003386	0	0	可调	0	0	1.23	0
286	431	430	31.725744	0.001623848	1.63444	0	0	可调	0	0	1.23	0
287	432	423	12.011289	0.002250881	0.324737	0	0	可调	0	0	1.23	0
288	432	431	32.952194	0.001860044	2.019723	0	0	可调	0	0	1.23	0
289	433	174	1.96985	0.000779319	0.003024	0	0	可调	0	0	1.23	0
290	434	433	29.448877	0.000340713	0.295479	0	0	可调	0	0	1.23	0
291	433	172	0.173838	0.001522188	0.000046	0	0	可调	0	0	1.23	0
292	434	435	29.622715	0.000437848	0.384214	0	0	可调	0	0	1.23	0
293	435	173	83.1	0.002852753	19.7	0	0	可调	0	0	1.23	0
294	414	437	1.987105	0.000779519	0.003078	0	0	可调	0	0	1.23	0
